idSolicitudes;FechaEntradaOCM;idSolicitantes;idEstados;idInstituciones;idDocumentos;idDistrito;idDelegacion;Distritos_idDistritos;AprobadaOCM;FechaAprobacionOCM;FechaPresentacion;FechaInicioExpediente;TextoCabecera;Descripción;SolicitudPrevia;Observaciones;Instituciones_idInstituciones;Solicitantes_idSolicitantes;Estados_idEstados;FechaContestacion;Imagen;SeguimientoSolicitante;idPrograma;idEconomico;GradoRespuesta;Delegaciones_idDelegaciones;Estados_idEstados1;createdAt;updatedAt;idUserCreate;idUserUpdate
82;;0;0;0;0;0;0;1;;;;;;Proyecto puesta en valor cine Astoria;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
83;;0;0;0;0;0;0;1;;;;;;Retribuciones complementarias;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
84;;0;0;0;0;0;0;1;;;;;;Datos deuda 2016 y 2017;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
85;;0;0;0;0;0;0;1;;;;;;Informes subida tarifa agua;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
86;;0;0;0;0;0;0;1;;;;;;Proyecto Torre la Atalaya;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
87;;0;0;0;0;0;0;1;;;;;;Arbolado de la ciudad;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
88;;0;0;0;0;0;0;1;;;;;;Tabla datos elecciones municipales 2015;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
89;;0;0;0;0;0;0;1;;;;;;Proyecto de adecuación y mejoras en la barriada de San Juan de Dios;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
90;;0;0;0;0;0;0;1;;;;;;Informacion subvencion transporte urbano;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
91;;0;0;0;0;0;0;1;;;;;;Proyecto de regeneración de las calles del centro histórico;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
92;;0;0;0;0;0;0;1;;;;;;Empresas mixtas;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
93;;0;0;0;0;0;0;1;;;;;;Plan Local de Intervención Zonas Desfavorecidas;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
94;;0;0;0;0;0;0;1;;;;;;Criterios para seleccionar calles a asfaltar;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
95;;0;0;0;0;0;0;1;;;;;;Inventario general de bienes y derechos;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
96;;0;0;0;0;0;0;1;;;;;;Estados contables de los gastos de los grupos municipales;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
97;;0;0;0;0;0;0;1;;;;;;Estudio parcelas disponibles;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
98;;0;0;0;0;0;0;1;;;;;;Campaña Aire Puro de Jerez;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
99;;0;0;0;0;0;0;1;;;;;;Empresas en las que el Ayuntamiento tenga algún tipo de participación económica;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
100;;0;0;0;0;0;0;1;;;;;;Listado anonimizado del personal;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
101;;0;0;0;0;0;0;1;;;;;;Informe tesoreria sobre PMP;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
102;;0;0;0;0;0;0;1;;;;;;Proyecto remodelación entre Arco del Arroyo y la plaza de La Asunción;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
103;;0;0;0;0;0;0;1;;;;;;Publicación actas integras reuniones JGL;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
104;;0;0;0;0;0;0;1;;;;;;Acuerdo de adjudicación de el servicio de limpieza y recogida de residuos sólidos;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
105;;0;0;0;0;0;0;1;;;;;;Plan Turístico de Jerez remitido a la Junta de Andalucía;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
106;;0;0;0;0;0;0;1;;;;;;Inventario de locales municipales;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
107;;0;0;0;0;0;0;1;;;;;;Información adjudicación contrato recogida residuos;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
108;;0;0;0;0;0;0;1;;;;;;Estudio de los locales cedidos a colectivos sociales y vecinales;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
109;;0;0;0;0;0;0;1;;;;;;Informes de tesoreria e intervención sobre PMP;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
110;;0;0;0;0;0;0;1;;;;;;Festival Música Delicatessen;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
111;;0;0;0;0;0;0;1;;;;;;Cuenta 2018 Consorcio Metropolitano de Transportes de la Bahía de Cádiz;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
112;;0;0;0;0;0;0;1;;;;;;Actas de comisiones;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
113;;0;0;0;0;0;0;1;;;;;;OPAs;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
114;;0;0;0;0;0;0;1;;;;;;Deuda;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
115;;0;0;0;0;0;0;1;;;;;;Deuda viva;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
116;;0;0;0;0;0;0;1;;;;;;Informacion anual Orden HAP/2082/2014;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
117;;0;0;0;0;0;0;1;;;;;;Informacion trimestral Orden HAP/2082/2014;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
118;;0;0;0;0;0;0;1;;;;;;Cuenta 2018 Consorcio Metropolitano de Transportes de la Bahía de Cádiz;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
119;;0;0;0;0;0;0;1;;;;;;Informacion gastos en publicidad;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
120;;0;0;0;0;0;0;1;;;;;;Informaciones Consorcio de Bomberos de la Provincia de Cádiz;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
121;;0;0;0;0;0;0;1;;;;;;Información sobre las operaciones devengadas OPA. Sancion.;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
122;;0;0;0;0;0;0;1;;;;;;Convenio para desarrollar del polígono industrial Guadalquivir;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
123;;0;0;0;0;0;0;1;;;;;;Construcciones en  las que se utilizaron materiales con amianto;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
124;;0;0;0;0;0;0;1;;;;;;Plan de tesorería 2019;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
125;;0;0;0;0;0;0;1;;;;;;Informacion protegida en listado deuda comercial;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
126;;0;0;0;0;0;0;1;;;;;;Acuerdo JGL retribuciones personal eventual;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
127;;0;0;0;0;0;0;1;;;;;;ITI eje Arroyo-Asuncion;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
128;;0;0;0;0;0;0;1;;;;;;Acuerdo JGL nombramiento representantes;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
129;;0;0;0;0;0;0;1;;;;;; Multas por infracciones de la Ordenanza de circulación;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
130;;0;0;0;0;0;0;1;;;;;;Expediente de contratacion menor Plan de Turismo Rural en el Guadalete;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
131;;0;0;0;0;0;0;1;;;;;;Modificaciones presupuestarias 2019;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
132;;0;0;0;0;0;0;1;;;;;; Proyecto municipal urbanización edificio de la Jefatura de Policía Local;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
133;;0;0;0;0;0;0;1;;;;;;Información pliego  técnicas gestión residuos;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
134;;0;0;0;0;0;0;1;;;;;;Ampliacion informacion obra Jefatura Policia Local;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
135;;0;0;0;0;0;0;1;;;;;;Concesion campos de golf.;0;Observaciones .;1;1;1;;;0;0;0;0;1;1;;;1;1
136;;0;0;0;0;0;0;1;;;;;;Actas Comisión Local de Patrimonio Histórico;0;Observaciones segunda .;1;1;1;;;0;0;0;0;1;1;;;1;1
